,Date,Subject,Pass Mark,Candidates Entered,Candidates Passed,Pass Rate,Filepath
232,september 2021,sp9,58,238,84,0.35294117647058826,pdfs2\IandF_SP9_202109_ Examiner Report.pdf
233,september 2022,sp9,55,140,55,0.39285714285714285,pdfs2\IandF_SP9_202209_Examiner Report.pdf
234,april 2023,sp9,56,150,81,0.54,pdfs2\IandF_SP9_202304_Examiner report.pdf
235,september 2023,sp9,55,131,62,0.4732824427480916,pdfs2\IandF_SP9_202309_Examiner Report.pdf
236,april 2021,cb2,58,934,518,0.5546038543897216,pdfs2\landF_CB2_202104_Examiners_Report.pdf
237,april 2019,cm1,58,Error,Error,Error,pdfs2\landF_CM1A_201904_Examiners'_Report.pdf
238,april 2019,cm1,58,Error,Error,Error,pdfs2\landF_CM1B_201904_Examiners'_Report.pdf
239,april 2019,cm2,60,Error,Error,Error,pdfs2\landF_CM2A_201904_Examiners'_Report.pdf
240,april 2022,cm2,60,1338,506,0.3781763826606876,pdfs2\landF_CM2A_202204_Examiner Report.pdf
241,april 2019,cm2,60,Error,Error,Error,pdfs2\landF_CM2B_201904_Examiners'_Report.pdf
242,april 2022,cm2,60,1338,506,0.3781763826606876,pdfs2\landF_CM2B_202204_Examiner Report.pdf
243,april 2019,cp1,58,Error,Error,Error,pdfs2\landF_CP1_Paper1_201904_Examiners'.pdf
244,april 2019,cp1,58,Error,Error,Error,pdfs2\landF_CP1_Paper2_201904_Examiners'.pdf
245,april 2020,cp2,60,1097,724,0.6599817684594348,pdfs2\landF_CP2_202004_Examiners'_Report_1.1.pdf
246,april 2022,cp3,60,1324,791,0.5974320241691843,pdfs2\landF_CP3_202204_Examiner Report.pdf
247,april 2019,sa2,54,Error,Error,Error,pdfs2\landF_SA2_201904_Examiners'_Report.pdf
248,april 2022,sa3,65,368,89,0.2418478260869565,pdfs2\landF_SA3_202204_Examiner Report.pdf
249,april 2022,sa7,59,96,28,0.2916666666666667,pdfs2\landF_SA7_202204_Examiner Report.pdf
